% Parameters taken from: CHARM22 - CHARMM27
% See sup. material from:
% All-Atom Empirical Potential for Molecular Modeling and Dynamics Studies of Proteins
% by A. D. MacKerell et al, 1998.
% Row: Well Depth, LJ minimum/2
% Column: C, O, N, H, CA
% ex CA = -0.020, ex Rmin/2 = 2.275
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.100
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.100
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
-0.110,-0.120,-0.200,-0.046,-0.070
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.892
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.892
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
2.000,1.700,1.850,0.2245,1.992
